DATE,FYFSGDA188S
1929-01-01,0.70199
1930-01-01,0.80072
1931-01-01,-0.59685
1932-01-01,-4.59417
1933-01-01,-4.55174
1934-01-01,-5.36730
1935-01-01,-3.77463
1936-01-01,-5.07224
1937-01-01,-2.35733
1938-01-01,-0.10185
1939-01-01,-3.04473
1940-01-01,-2.83644
1941-01-01,-3.81969
1942-01-01,-12.35143
1943-01-01,-26.85775
1944-01-01,-21.17880
1945-01-01,-20.84077
1946-01-01,-6.99524
1947-01-01,1.60755
1948-01-01,4.29247
1949-01-01,0.21259
1950-01-01,-1.03898
1951-01-01,1.75701
1952-01-01,-0.41308
1953-01-01,-1.66599
1954-01-01,-0.29503
1955-01-01,-0.70229
1956-01-01,0.87686
1957-01-01,0.71854
1958-01-01,-0.57443
1959-01-01,-2.45937
1960-01-01,0.05540
1961-01-01,-0.59204
1962-01-01,-1.18093
1963-01-01,-0.74478
1964-01-01,-0.86251
1965-01-01,-0.18972
1966-01-01,-0.45372
1967-01-01,-1.00298
1968-01-01,-2.66966
1969-01-01,0.31788
1970-01-01,-0.26415
1971-01-01,-1.97239
1972-01-01,-1.82253
1973-01-01,-1.04358
1974-01-01,-0.39611
1975-01-01,-3.15242
1976-01-01,-3.92696
1977-01-01,-2.57240
1978-01-01,-2.51149
1979-01-01,-1.54726
1980-01-01,-2.57921
1981-01-01,-2.45933
1982-01-01,-3.82593
1983-01-01,-5.71177
1984-01-01,-4.58751
1985-01-01,-4.88431
1986-01-01,-4.81960
1987-01-01,-3.07440
1988-01-01,-2.95429
1989-01-01,-2.69790
1990-01-01,-3.69651
1991-01-01,-4.36081
1992-01-01,-4.43963
1993-01-01,-3.70783
1994-01-01,-2.78004
1995-01-01,-2.13923
1996-01-01,-1.32628
1997-01-01,-0.25421
1998-01-01,0.76212
1999-01-01,1.30023
2000-01-01,2.29700
2001-01-01,1.20729
2002-01-01,-1.43710
2003-01-01,-3.28030
2004-01-01,-3.36236
2005-01-01,-2.43129
2006-01-01,-1.79116
2007-01-01,-1.10999
2008-01-01,-3.11547
2009-01-01,-9.79758
2010-01-01,-8.64970
2011-01-01,-8.37482
2012-01-01,-6.72818
2013-01-01,-4.07118
2014-01-01,-2.78065
2015-01-01,-2.41986
2016-01-01,-3.13915
2017-01-01,-3.43384
