Year,Population,US homicide rates per 100000,Number of homicides,Gun homicides,Terrorism (CDC definition),Islamic terrorism
2000,282171936,5.5,16765,10801,0,0
2001,285081556,5.6,20308,11348,2926,2996
2002,287803914,5.6,17638,11829,1,3
2003,290326418,5.7,17732,11920,0,0
2004,293045739,5.5,17357,11624,0,0
2005,295753151,5.6,18124,12352,0,0
2006,298593212,5.8,18573,12791,0,0
2007,301579895,5.7,18361,12632,0,0
2008,304374846,5.4,17826,12179,0,0
2009,307006550,5,16799,11493,0,13
2010,308747508,4.8,16259,11078,0,0
2011,311663358,4.7,16238,11068,0,0
2012,313998379,4.7,16688,11622,0,0
2013,316204908,4.5,16121,11208,3,3
2014,318907401,4.4,15872,11008,0,13
2015,321418820,4.9,17793,12979,5,23
2016,323127513,5.3,19362,14415,0,49
